<TICKER>,<PER>,<DATE>,<TIME>,<VOL>
SiH0 [SPBFUT],10,20191011,154000,30397.000000
SiH0 [SPBFUT],10,20191011,155000,14394.000000
SiH0 [SPBFUT],10,20191011,160000,24431.000000
SiH0 [SPBFUT],10,20191011,161000,21751.000000
SiH0 [SPBFUT],10,20191011,162000,14886.000000
SiH0 [SPBFUT],10,20191011,163000,22136.000000
SiH0 [SPBFUT],10,20191011,164000,29351.000000
SiH0 [SPBFUT],10,20191011,165000,30716.000000
SiH0 [SPBFUT],10,20191011,170000,23950.000000
SiH0 [SPBFUT],10,20191011,171000,26132.000000
SiH0 [SPBFUT],10,20191011,172000,24149.000000
SiH0 [SPBFUT],10,20191011,173000,18960.000000
SiH0 [SPBFUT],10,20191011,174000,20953.000000
SiH0 [SPBFUT],10,20191011,175000,12636.000000
SiH0 [SPBFUT],10,20191011,180000,14021.000000
SiH0 [SPBFUT],10,20191011,181000,12792.000000
SiH0 [SPBFUT],10,20191011,182000,26008.000000
SiH0 [SPBFUT],10,20191011,183000,13601.000000
SiH0 [SPBFUT],10,20191011,184000,8424.000000
SiH0 [SPBFUT],10,20191011,190000,40830.000000
SiH0 [SPBFUT],10,20191011,191000,18300.000000
SiH0 [SPBFUT],10,20191011,192000,19033.000000
SiH0 [SPBFUT],10,20191011,193000,11999.000000
SiH0 [SPBFUT],10,20191011,194000,9189.000000
SiH0 [SPBFUT],10,20191011,195000,3661.000000
SiH0 [SPBFUT],10,20191011,200000,2771.000000
SiH0 [SPBFUT],10,20191011,201000,2665.000000
SiH0 [SPBFUT],10,20191011,202000,12773.000000
SiH0 [SPBFUT],10,20191011,203000,6424.000000
SiH0 [SPBFUT],10,20191011,204000,2833.000000
SiH0 [SPBFUT],10,20191011,205000,2437.000000
SiH0 [SPBFUT],10,20191011,210000,2424.000000
SiH0 [SPBFUT],10,20191011,211000,3654.000000
SiH0 [SPBFUT],10,20191011,212000,4504.000000
SiH0 [SPBFUT],10,20191011,213000,3540.000000
SiH0 [SPBFUT],10,20191011,214000,1707.000000
SiH0 [SPBFUT],10,20191011,215000,2181.000000
SiH0 [SPBFUT],10,20191011,220000,3417.000000
SiH0 [SPBFUT],10,20191011,221000,2821.000000
SiH0 [SPBFUT],10,20191011,222000,2437.000000
SiH0 [SPBFUT],10,20191011,223000,4377.000000
SiH0 [SPBFUT],10,20191011,224000,6041.000000
SiH0 [SPBFUT],10,20191011,225000,7170.000000
SiH0 [SPBFUT],10,20191011,230000,9822.000000
SiH0 [SPBFUT],10,20191011,231000,8313.000000
SiH0 [SPBFUT],10,20191011,232000,6001.000000
SiH0 [SPBFUT],10,20191011,233000,5813.000000
SiH0 [SPBFUT],10,20191011,234000,5203.000000
SiH0 [SPBFUT],10,20191014,100000,82352.000000
SiH0 [SPBFUT],10,20191014,101000,58163.000000
SiH0 [SPBFUT],10,20191014,102000,73181.000000
SiH0 [SPBFUT],10,20191014,103000,22366.000000
SiH0 [SPBFUT],10,20191014,104000,15914.000000
SiH0 [SPBFUT],10,20191014,105000,19877.000000
SiH0 [SPBFUT],10,20191014,110000,39871.000000
SiH0 [SPBFUT],10,20191014,111000,14667.000000
SiH0 [SPBFUT],10,20191014,112000,11185.000000
SiH0 [SPBFUT],10,20191014,113000,20107.000000
SiH0 [SPBFUT],10,20191014,114000,11804.000000
SiH0 [SPBFUT],10,20191014,115000,10519.000000
SiH0 [SPBFUT],10,20191014,120000,22910.000000
SiH0 [SPBFUT],10,20191014,121000,21346.000000
SiH0 [SPBFUT],10,20191014,122000,80550.000000
SiH0 [SPBFUT],10,20191014,123000,24723.000000
SiH0 [SPBFUT],10,20191014,124000,19137.000000
SiH0 [SPBFUT],10,20191014,125000,14853.000000
SiH0 [SPBFUT],10,20191014,130000,20119.000000
SiH0 [SPBFUT],10,20191014,131000,21289.000000
SiH0 [SPBFUT],10,20191014,132000,8032.000000
SiH0 [SPBFUT],10,20191014,133000,25135.000000
SiH0 [SPBFUT],10,20191014,134000,23652.000000
SiH0 [SPBFUT],10,20191014,135000,7778.000000
SiH0 [SPBFUT],10,20191014,140000,9681.000000
SiH0 [SPBFUT],10,20191014,141000,7338.000000
SiH0 [SPBFUT],10,20191014,142000,7281.000000
SiH0 [SPBFUT],10,20191014,143000,20905.000000
SiH0 [SPBFUT],10,20191014,144000,8062.000000
SiH0 [SPBFUT],10,20191014,145000,5550.000000
SiH0 [SPBFUT],10,20191014,150000,13928.000000
SiH0 [SPBFUT],10,20191014,151000,12709.000000
SiH0 [SPBFUT],10,20191014,152000,7404.000000
SiH0 [SPBFUT],10,20191014,153000,13254.000000
SiH0 [SPBFUT],10,20191014,154000,7666.000000
SiH0 [SPBFUT],10,20191014,155000,11151.000000
SiH0 [SPBFUT],10,20191014,160000,8227.000000
SiH0 [SPBFUT],10,20191014,161000,8225.000000
SiH0 [SPBFUT],10,20191014,162000,13759.000000
SiH0 [SPBFUT],10,20191014,163000,17746.000000
SiH0 [SPBFUT],10,20191014,164000,20383.000000
SiH0 [SPBFUT],10,20191014,165000,13038.000000
SiH0 [SPBFUT],10,20191014,170000,15336.000000
SiH0 [SPBFUT],10,20191014,171000,6135.000000
SiH0 [SPBFUT],10,20191014,172000,8171.000000
SiH0 [SPBFUT],10,20191014,173000,10731.000000
SiH0 [SPBFUT],10,20191014,174000,8921.000000
SiH0 [SPBFUT],10,20191014,175000,4969.000000
SiH0 [SPBFUT],10,20191014,180000,9863.000000
SiH0 [SPBFUT],10,20191014,181000,10127.000000
SiH0 [SPBFUT],10,20191014,182000,26782.000000
SiH0 [SPBFUT],10,20191014,183000,20697.000000
SiH0 [SPBFUT],10,20191014,184000,6597.000000
SiH0 [SPBFUT],10,20191014,190000,6733.000000
SiH0 [SPBFUT],10,20191014,191000,7621.000000
SiH0 [SPBFUT],10,20191014,192000,4752.000000
SiH0 [SPBFUT],10,20191014,193000,2315.000000
SiH0 [SPBFUT],10,20191014,194000,2575.000000
SiH0 [SPBFUT],10,20191014,195000,2596.000000
SiH0 [SPBFUT],10,20191014,200000,6119.000000
SiH0 [SPBFUT],10,20191014,201000,2699.000000
SiH0 [SPBFUT],10,20191014,202000,4005.000000
SiH0 [SPBFUT],10,20191014,203000,2761.000000
SiH0 [SPBFUT],10,20191014,204000,2603.000000
SiH0 [SPBFUT],10,20191014,205000,1530.000000
SiH0 [SPBFUT],10,20191014,210000,1807.000000
SiH0 [SPBFUT],10,20191014,211000,2435.000000
SiH0 [SPBFUT],10,20191014,212000,4238.000000
SiH0 [SPBFUT],10,20191014,213000,2528.000000
SiH0 [SPBFUT],10,20191014,214000,1087.000000
SiH0 [SPBFUT],10,20191014,215000,1784.000000
SiH0 [SPBFUT],10,20191014,220000,5424.000000
SiH0 [SPBFUT],10,20191014,221000,1451.000000
SiH0 [SPBFUT],10,20191014,222000,942.000000
SiH0 [SPBFUT],10,20191014,223000,2099.000000
SiH0 [SPBFUT],10,20191014,224000,790.000000
SiH0 [SPBFUT],10,20191014,225000,1581.000000
SiH0 [SPBFUT],10,20191014,230000,3473.000000
SiH0 [SPBFUT],10,20191014,231000,996.000000
SiH0 [SPBFUT],10,20191014,232000,2692.000000
SiH0 [SPBFUT],10,20191014,233000,1909.000000
SiH0 [SPBFUT],10,20191014,234000,3736.000000
SiH0 [SPBFUT],10,20191015,100000,67566.000000
SiH0 [SPBFUT],10,20191015,101000,15829.000000
SiH0 [SPBFUT],10,20191015,102000,42463.000000
SiH0 [SPBFUT],10,20191015,103000,34509.000000
SiH0 [SPBFUT],10,20191015,104000,24481.000000
SiH0 [SPBFUT],10,20191015,105000,16217.000000
SiH0 [SPBFUT],10,20191015,110000,14511.000000
SiH0 [SPBFUT],10,20191015,111000,11035.000000
SiH0 [SPBFUT],10,20191015,112000,20907.000000
SiH0 [SPBFUT],10,20191015,113000,23093.000000
SiH0 [SPBFUT],10,20191015,114000,10390.000000
SiH0 [SPBFUT],10,20191015,115000,47818.000000
SiH0 [SPBFUT],10,20191015,120000,98310.000000
SiH0 [SPBFUT],10,20191015,121000,68832.000000
SiH0 [SPBFUT],10,20191015,122000,37670.000000
SiH0 [SPBFUT],10,20191015,123000,44166.000000
SiH0 [SPBFUT],10,20191015,124000,42313.000000
SiH0 [SPBFUT],10,20191015,125000,21340.000000
SiH0 [SPBFUT],10,20191015,130000,14299.000000
SiH0 [SPBFUT],10,20191015,131000,11695.000000
SiH0 [SPBFUT],10,20191015,132000,24193.000000
SiH0 [SPBFUT],10,20191015,133000,14581.000000
SiH0 [SPBFUT],10,20191015,134000,11213.000000
SiH0 [SPBFUT],10,20191015,135000,15361.000000
SiH0 [SPBFUT],10,20191015,140000,23657.000000
SiH0 [SPBFUT],10,20191015,141000,14777.000000
SiH0 [SPBFUT],10,20191015,142000,13980.000000
SiH0 [SPBFUT],10,20191015,143000,7639.000000
SiH0 [SPBFUT],10,20191015,144000,10315.000000
SiH0 [SPBFUT],10,20191015,145000,14898.000000
SiH0 [SPBFUT],10,20191015,150000,15752.000000
SiH0 [SPBFUT],10,20191015,151000,7372.000000
SiH0 [SPBFUT],10,20191015,152000,21352.000000
SiH0 [SPBFUT],10,20191015,153000,17194.000000
SiH0 [SPBFUT],10,20191015,154000,9573.000000
SiH0 [SPBFUT],10,20191015,155000,13041.000000
SiH0 [SPBFUT],10,20191015,160000,14286.000000
SiH0 [SPBFUT],10,20191015,161000,8910.000000
SiH0 [SPBFUT],10,20191015,162000,14348.000000
SiH0 [SPBFUT],10,20191015,163000,38246.000000
SiH0 [SPBFUT],10,20191015,164000,12666.000000
SiH0 [SPBFUT],10,20191015,165000,9666.000000
SiH0 [SPBFUT],10,20191015,170000,24474.000000
SiH0 [SPBFUT],10,20191015,171000,16315.000000
SiH0 [SPBFUT],10,20191015,172000,49916.000000
SiH0 [SPBFUT],10,20191015,173000,117596.000000
SiH0 [SPBFUT],10,20191015,174000,34785.000000
SiH0 [SPBFUT],10,20191015,175000,59880.000000
SiH0 [SPBFUT],10,20191015,180000,29836.000000
SiH0 [SPBFUT],10,20191015,181000,19968.000000
SiH0 [SPBFUT],10,20191015,182000,13218.000000
SiH0 [SPBFUT],10,20191015,183000,22524.000000
SiH0 [SPBFUT],10,20191015,184000,10785.000000
SiH0 [SPBFUT],10,20191015,190000,8269.000000
SiH0 [SPBFUT],10,20191015,191000,5330.000000
SiH0 [SPBFUT],10,20191015,192000,4887.000000
SiH0 [SPBFUT],10,20191015,193000,4202.000000
SiH0 [SPBFUT],10,20191015,194000,3839.000000
SiH0 [SPBFUT],10,20191015,195000,2106.000000
SiH0 [SPBFUT],10,20191015,200000,6572.000000
SiH0 [SPBFUT],10,20191015,201000,2958.000000
SiH0 [SPBFUT],10,20191015,202000,3464.000000
SiH0 [SPBFUT],10,20191015,203000,2091.000000
SiH0 [SPBFUT],10,20191015,204000,3169.000000
SiH0 [SPBFUT],10,20191015,205000,2851.000000
SiH0 [SPBFUT],10,20191015,210000,2468.000000
SiH0 [SPBFUT],10,20191015,211000,2364.000000
SiH0 [SPBFUT],10,20191015,212000,3973.000000
SiH0 [SPBFUT],10,20191015,213000,2961.000000
SiH0 [SPBFUT],10,20191015,214000,3415.000000
SiH0 [SPBFUT],10,20191015,215000,3453.000000
SiH0 [SPBFUT],10,20191015,220000,3205.000000
SiH0 [SPBFUT],10,20191015,221000,745.000000
SiH0 [SPBFUT],10,20191015,222000,7593.000000
SiH0 [SPBFUT],10,20191015,223000,1584.000000
SiH0 [SPBFUT],10,20191015,224000,792.000000
SiH0 [SPBFUT],10,20191015,225000,1645.000000
SiH0 [SPBFUT],10,20191015,230000,1362.000000
SiH0 [SPBFUT],10,20191015,231000,1542.000000
SiH0 [SPBFUT],10,20191015,232000,2551.000000
SiH0 [SPBFUT],10,20191015,233000,1818.000000
SiH0 [SPBFUT],10,20191015,234000,2422.000000
SiH0 [SPBFUT],10,20191016,100000,124952.000000
SiH0 [SPBFUT],10,20191016,101000,57643.000000
SiH0 [SPBFUT],10,20191016,102000,35188.000000
SiH0 [SPBFUT],10,20191016,103000,26579.000000
SiH0 [SPBFUT],10,20191016,104000,26916.000000
SiH0 [SPBFUT],10,20191016,105000,15734.000000
SiH0 [SPBFUT],10,20191016,110000,24515.000000
SiH0 [SPBFUT],10,20191016,111000,8311.000000
SiH0 [SPBFUT],10,20191016,112000,9233.000000
SiH0 [SPBFUT],10,20191016,113000,10081.000000
SiH0 [SPBFUT],10,20191016,114000,9508.000000
SiH0 [SPBFUT],10,20191016,115000,7532.000000
SiH0 [SPBFUT],10,20191016,120000,21747.000000
SiH0 [SPBFUT],10,20191016,121000,28231.000000
SiH0 [SPBFUT],10,20191016,122000,27997.000000
SiH0 [SPBFUT],10,20191016,123000,12829.000000
SiH0 [SPBFUT],10,20191016,124000,10291.000000
SiH0 [SPBFUT],10,20191016,125000,25973.000000
SiH0 [SPBFUT],10,20191016,130000,30219.000000
SiH0 [SPBFUT],10,20191016,131000,19005.000000
SiH0 [SPBFUT],10,20191016,132000,7072.000000
SiH0 [SPBFUT],10,20191016,133000,18746.000000
SiH0 [SPBFUT],10,20191016,134000,15702.000000
SiH0 [SPBFUT],10,20191016,135000,32006.000000
SiH0 [SPBFUT],10,20191016,140000,28083.000000
SiH0 [SPBFUT],10,20191016,141000,114565.000000
SiH0 [SPBFUT],10,20191016,142000,43990.000000
SiH0 [SPBFUT],10,20191016,143000,31552.000000
SiH0 [SPBFUT],10,20191016,144000,98870.000000
SiH0 [SPBFUT],10,20191016,145000,18972.000000
SiH0 [SPBFUT],10,20191016,150000,15416.000000
SiH0 [SPBFUT],10,20191016,151000,16988.000000
SiH0 [SPBFUT],10,20191016,152000,32042.000000
SiH0 [SPBFUT],10,20191016,153000,42895.000000
SiH0 [SPBFUT],10,20191016,154000,10241.000000
SiH0 [SPBFUT],10,20191016,155000,21153.000000
SiH0 [SPBFUT],10,20191016,160000,20320.000000
SiH0 [SPBFUT],10,20191016,161000,11309.000000
SiH0 [SPBFUT],10,20191016,162000,9732.000000
SiH0 [SPBFUT],10,20191016,163000,11866.000000
SiH0 [SPBFUT],10,20191016,164000,10098.000000
SiH0 [SPBFUT],10,20191016,165000,16222.000000
SiH0 [SPBFUT],10,20191016,170000,15680.000000
SiH0 [SPBFUT],10,20191016,171000,7608.000000
SiH0 [SPBFUT],10,20191016,172000,12779.000000
SiH0 [SPBFUT],10,20191016,173000,22356.000000
SiH0 [SPBFUT],10,20191016,174000,10562.000000
SiH0 [SPBFUT],10,20191016,175000,45688.000000
SiH0 [SPBFUT],10,20191016,180000,15798.000000
SiH0 [SPBFUT],10,20191016,181000,20248.000000
SiH0 [SPBFUT],10,20191016,182000,21541.000000
SiH0 [SPBFUT],10,20191016,183000,10623.000000
SiH0 [SPBFUT],10,20191016,184000,4141.000000
